ASP Name,Contact Person,City,Latitute,Longitude,status
Teja enterprises,,kurnool,15.829543,78.042468,
Sri Lakshmi Karthikeya,,Ananthapuram,14.688016,77.598187,
Kiran enterprises,,Thirupathi,13.637533,79.424204,
Leela enterprises,,Ongole,15.506756,80.042677,
Shankar electricals,,Vijayawada,16.519456,80.638018,
LS Engineering,,Vizag,17.716979,83.195628,
Sri kanakamahalakshmi,,Tadepalligudem,16.809726,81.533633,
Sri Venkateswara electrical sales and service,,Vijayanagaram,18.118967,83.403064,
SV communications,,Amalapuram,16.680511,82.168474,
Harsha enterprises,,Kadapa,14.478682,78.826706,
Sree nagavigneswara electronic,,Ananthapur,14.689857,77.596148,
Kl enterprises,,Guntur,16.319725,80.409916,
Saroo shopee,,Rajhamundry,17.000486,81.795777,
Omkar enterprises,,Khammam,17.250289,80.121457,
Pavantani enterprises,,Warangal,17.980994,79.591070,
